id,created_at,text
1094074138212352001,2019-02-09 03:22:56,@yetz1 O @falanext me trolou e não liberou limite pra comprar 1 ingresso...   Isso por que o outro cartão eu consig… https://t.co/cP59p0visX
1094099593317572609,2019-02-09 05:04:05,"@falanext Eu sei amigos.. só que, quem não chora não mama! Super de boa. Fico com a velhinha mesmo. Abraços 🤗"
1094130492314669056,2019-02-09 07:06:51,"@falanext valeu, fui aprovado!"
1094174189014130688,2019-02-09 10:00:30,@falanext Desinstalalei. Não consegui cartão de crédito
1094182362953457664,2019-02-09 10:32:58,@falanext Tô esperando
1094189750402117633,2019-02-09 11:02:20,@falanext Não parece. Estão tratando o caso com pouca relevância. E ignorando as consequências dessa demora.
1094225196544917505,2019-02-09 13:23:11,"A @falanext esta me torturando, isso não existe fazer uma sacanagem dessas."
1094226703688323072,2019-02-09 13:29:10,"@falanext eu vou usar as redes sociais para relatar a falta de organização de vcs, como que eu tenho dinheiro na co… https://t.co/NYYEDIV1ns"
1094227508420100098,2019-02-09 13:32:22,Viajei ao exterior e não posso usar usar o cartão @falanext pq eles são incompetentes e não conseguem me informar q… https://t.co/9sY7hmmwE9
1094227749068259328,2019-02-09 13:33:19,"A viagem dos sonhos esta se tormando um pesadelo, obrigada @falanext, valeu mesmo!!"
1094231440273883136,2019-02-09 13:47:59,@Eneidafarias4 @falanext @proconpe nos ajudem com essa situação vexatória promovida pela @falanext
1094232097982738432,2019-02-09 13:50:36,"@Eneidafarias4 @falanext @proconpe 
Veja a situação na qual estamos passando por irresponsabilidade e falta de comp… https://t.co/OrQkIckKLA"
1094233292105310208,2019-02-09 13:55:21,"@Eneidafarias4 @falanext Peço ajuda também ao @proconspoficial, por provavelmente já ter se deparado com essa situa… https://t.co/mWGe5dEQKT"
1094234825857355778,2019-02-09 14:01:27,"@falanext @proconpe @proconspoficial Vejam a quantidade de reclamações contra a @Next, por diversos problemas; e no… https://t.co/aAoQ5onOrb"
1094234899303882752,2019-02-09 14:01:44,"@falanext @proconpe @proconspoficial Vejam a quantidade de reclamações contra a @Next, por diversos problemas; e no… https://t.co/6XXhsw1iC9"
1094235098298441729,2019-02-09 14:02:31,"@falanext @proconpe @proconspoficial Vejam a quantidade de reclamações contra a @Next, por diversos problemas; e no… https://t.co/nwuYRaTgh4"
1094235535579717632,2019-02-09 14:04:16,"@Jorgeguccinare @falanext @proconpe @proconspoficial Vejam a quantidade de reclamações contra a @Next, por diversos… https://t.co/NQ7ZS2CEXK"
1094235566462459904,2019-02-09 14:04:23,"@falanext @proconpe @proconspoficial Vejam a quantidade de reclamações contra a @Next, por diversos problemas; e no… https://t.co/9WOP4S6WWB"
1094235857605791744,2019-02-09 14:05:33,@falanext resolveu nada
1094241507677257733,2019-02-09 14:28:00,@falanext oi! tô desde ontem tentando perguntar pra vocês se poderia receber meu cartão no trabalho. aí agora receb… https://t.co/EtEYJUNBqN
1094242006447079425,2019-02-09 14:29:59,"@falanext não estou conseguindo assinar o Spotify Premium com desconto universitário com meu cartão de débito, fica dando erro, ajuda ae"
1094243189295382528,2019-02-09 14:34:41,"o @falanext precisa entender que não quero falar com a bia, preciso falar com atendente de verdade, se fosse pra fa… https://t.co/lowjCfFDmR"
1094243810329153536,2019-02-09 14:37:09,eu to a quase 20 minutos rangando falar com um atendente do ⁦@falanext⁩ e até agora nada https://t.co/d54XbfKjmM
1094244074536742912,2019-02-09 14:38:12,"começando a odiar esse banco? talvez sim! já odiava o @Bradesco e agora o @falanext , poxa..."
1094247644149547009,2019-02-09 14:52:23,"já são mais de 30 minutos tentando atendimento com o banco @falanext que é do @Bradesco e até agora nada, gente, is… https://t.co/kUd9CfkQjZ"
1094251470935990273,2019-02-09 15:07:35,"depois de quase uma hora eu consigo atendimento no @falanext e a atendente não consegue resolver o meu problema, sã… https://t.co/u1uFOGt9lX"
1094258395073441793,2019-02-09 15:35:06,@falanext  e ai next?? kkkkk
1094269036144349184,2019-02-09 16:17:23,"@falanext Voltou sozinho por umas horas ontem, mas logo depois caiu de novo. Continuo sem conseguir acessar"
1094271174400528387,2019-02-09 16:25:53,@falanext https://t.co/BXc791RjKC
1094276051042209793,2019-02-09 16:45:15,@falanext É us gurii! Kkk valeu!
1094284118312005633,2019-02-09 17:17:19,"no momento estou mt puto com o @falanext pois, não tenho nenhum suporte do mesmo e só passo raiva com esse banco"
1094285013665882113,2019-02-09 17:20:52,@falanext EU NÃO TÔ CONSEGUINDO PEDIR UBER PELO CARTÃO ME AJUDEM URGENTE
1094285890728411136,2019-02-09 17:24:21,@falanext + @iFood = salvando meu fim de semana. 💚❤️
1094290774571843586,2019-02-09 17:43:46,@falanext Dá uma olhada nessa reclamação contra Banco Next no @ReclameAQUI https://t.co/Xhjb7G2r9b
1094291161097867265,2019-02-09 17:45:18,"@falanext

 Dá uma olhada nessa reclamação contra Banco Next no @ReclameAQUI https://t.co/Xhjb7G2r9b"
1094316601732677632,2019-02-09 19:26:23,"@falanext Opa, tudo bem! Olha só, já conseguimos resolver nossa situação, positivo. Mesmo assim agradecemos o feedback. :-))"
1094342998865924098,2019-02-09 21:11:17,"Ainda não sei como a @falanext não fez uma campanha com ""thank u, next"" até hoje"
1094359144159760384,2019-02-09 22:15:26,@falanext Encerrei a conta a 01 ano atrás e agora não consigo abrir uma nova conta
1094363418885267457,2019-02-09 22:32:26,"Ei @falanext , será que vocês não conseguem mimos para compra diamantes no Free Fire? Não custa tentar"
1094368936194383872,2019-02-09 22:54:21,@falanext Deem uma olhada na DM por favor
1094376687595372549,2019-02-09 23:25:09,alguém me explica pq a @falanext me colocou no cheque especial sendo que tem limite no cartão ????????? 😨😨😰😰😰
1094382360961929217,2019-02-09 23:47:42,Estou cansado da incompetência da @falanext. Fizeram minha mulher de besta andando pra cima e pra baixo para resolv… https://t.co/Qh3nURTBVB
1094383505776304128,2019-02-09 23:52:15,"@falanext @falanext: Não façam Next é um cavalo de troia em sua vida. Aquele papo furado de que ""agora ficou  ainda… https://t.co/61urRzWkal"
1094384361540145154,2019-02-09 23:55:39,"@falanext @proconspoficial @proconpe @falanext: Estou cansado de tanto papo furado, tanta mensagem repetida, parece… https://t.co/5wFe5q1bgj"
1094385912157536256,2019-02-10 00:01:48,@falanext olá
1094386165036318720,2019-02-10 00:02:49,@falanext Pior Banco no qual você pode confiar. Pode ter certeza que o transtorno está garantido. NÃO FAÇA CONTA NE… https://t.co/Fpxvtli3QV
1094387321045176321,2019-02-10 00:07:24,@falanext @Bradesco fecha esse @falanext; isso é uma piada! estou passando um inferno graças a incompetência deles.… https://t.co/s1ekhn1FHw
